Name,State,Notes,User,Tags,Created,Runtime,Sweep,keyword,set,S,I,J,T,replenishment,zeta,absorption,eta,ap1_objective,ap1_optgap,ap1_runtime,ap1_solution,ap1_status,ap2_objective,ap2_optgap,ap2_runtime,ap2_solution,ap2_status,ap3_objective,ap3_optgap,ap3_runtime,ap3_solution,ap3_status,hrs_objective,hrs_objgap,hrs_solution,lpr_objective,lpr_runtime,lpr_status,mip_intgap,mip_objective,mip_optgap,mip_runtime,mip_solution,mip_status,sanity_check
stilted-armadillo-2560,finished,-,warleyalm,,2022-11-13T05:06:03.000Z,3,,A-8-20-20-14-linear-75-exponential-100,A,8,20,20,14,linear,75,exponential,100,1901.03,0.7724,0,7-7-7-7-7-7-7-7-7-7-7-7-7-7,2,3115.6,0.627,0,7-7-6-6-6-6-5-5-5-5-5-5-5-5,2,2782.8,0.6668,0,7-11-17-17-17-17-17-17-17-17-17-17-17-17,2,7390.32,0.1152,7-11-6-5-7-11-6-10-5-7-11-6-4-5,28881.65,0.04,2,0.7108,8352.9,9.06527E-05,10.06,17-11-7-17-6-5-9-11-10-7-4-6-11-5,2,true
classic-spaceship-2559,finished,-,warleyalm,,2022-11-13T05:06:01.000Z,2,,A-8-20-20-7-exponential-50-exponential-50,A,8,20,20,7,exponential,50,exponential,50,614.21,0.8158,0,10-10-10-10-10-10-10,2,1537.12,0.539,0,10-10-10-10-10-14-14,2,1558,0.5327,0,10-12-12-12-12-12-12,2,3089.7,0.0733,10-12-7-18-10-14-6,15383.65,0.02,2,0.7833,3334.15,0,0.16,18-12-10-7-10-6-14,2,true
still-smoke-2558,finished,-,warleyalm,,2022-11-13T05:05:58.000Z,3,,A-5-20-20-7-linear-100-linear-75,A,5,20,20,7,linear,100,linear,75,1001.7,0.2838,0,1-1-1-1-1-1-1,2,1106,0.2093,0,11-11-11-11-11-11-11,2,1106,0.2093,0,11-11-11-11-11-11-11,2,1326.2,0.0518,11-6-11-11-11-6-11,9471.78,0.02,2,0.8523,1398.7,0,0.09,8-6-11-11-11-11-11,2,true
zesty-hill-2557,finished,-,warleyalm,,2022-11-13T05:05:55.000Z,3,,A-7-20-20-7-exponential-50-linear-100,A,7,20,20,7,exponential,50,linear,100,220.89,0.7885,0,11-11-11-11-11-11-11,2,220.89,0.7885,0,11-11-11-11-11-11-11,2,629.3,0.3974,0,11-17-17-17-18-18-18,2,753.49,0.2785,11-15-15-17-17-17-10,12589.47,0.02,2,0.917,1044.39,0,0.1,17-15-11-11-11-11-10,2,true
cerulean-pond-2556,finished,-,warleyalm,,2022-11-13T05:05:53.000Z,2,,A-8-10-10-7-exponential-50-exponential-50,A,8,10,10,7,exponential,50,exponential,50,614.21,0.7964,0,10-10-10-10-10-10-10,2,1523.42,0.4951,0,10-10-10-10-10-6-6,2,1109.83,0.6322,0,10-10-10-10-2-2-2,2,2348.98,0.2215,10-7-10-6-7-10-6,14489.7,0.01,2,0.7918,3017.32,0,0.13,2-6-10-7-10-7-10,2,true
rich-river-2555,finished,-,warleyalm,,2022-11-13T05:05:50.000Z,3,,A-8-20-20-14-linear-100-exponential-25,A,8,20,20,14,linear,100,exponential,25,2666.71,0.6727,0,10-10-10-10-10-10-10-10-10-10-10-10-10-10,2,2666.71,0.6727,0,10-10-10-10-10-10-10-10-10-10-10-10-10-10,2,3042.36,0.6266,0,10-12-12-12-12-12-12-12-12-12-12-12-12-12,2,7513.37,0.0779,10-12-10-18-12-10-6-12-18-10-5-12-6-10,27440.64,0.04,2,0.7031,8148.44,8.64137E-05,3.2,7-11-12-10-20-18-6-12-10-5-18-12-6-10,2,true
neat-lake-2554,finished,-,warleyalm,,2022-11-13T05:05:47.000Z,3,,A-4-20-20-14-exponential-25-exponential-100,A,4,20,20,14,exponential,25,exponential,100,452.19,0.9452,0,6-6-6-6-6-6-6-6-6-6-6-6-6-6,2,911.38,0.8896,0,6-20-18-18-18-18-18-18-18-18-18-18-18-18,2,1926.2,0.7667,0,6-13-13-11-16-16-16-16-16-16-16-16-16-16,2,7780.04,0.0576,6-20-18-13-2-20-2-9-2-6-9-19-5-18,34010.6,0.03,2,0.7573,8255.98,0,3.19,4-6-13-20-2-18-2-9-6-2-9-19-2-5,2,true
feasible-sun-2553,finished,-,warleyalm,,2022-11-13T05:05:44.000Z,3,,A-6-10-10-14-linear-100-linear-25,A,6,10,10,14,linear,100,linear,25,2630.6,0.1158,0,7-7-7-7-7-7-7-7-7-7-7-7-7-7,2,2606,0.124,0,10-10-10-10-10-10-10-10-10-10-10-10-10-10,2,2703.9,0.0911,0,10-10-10-7-7-7-7-7-7-7-7-7-7-7,2,2953.2,0.0073,10-10-10-7-10-10-10-10-10-7-10-10-10-10,19375.79,0.01,2,0.8465,2975,0,0.08,7-7-10-10-10-10-10-10-10-10-10-10-10-10,2,true
misty-morning-2552,finished,-,warleyalm,,2022-11-13T05:05:42.000Z,3,,A-4-20-20-7-linear-50-linear-75,A,4,20,20,7,linear,50,linear,75,987,0.2339,0,12-12-12-12-12-12-12,2,912,0.2921,0,6-6-6-6-6-6-6,2,1261.3,0.021,0,6-2-2-2-2-2-2,2,1288.3,0,6-2-6-6-2-6-2,9158.49,0.02,2,0.8593,1288.3,0,0.11,6-2-6-6-2-6-2,2,true
volcanic-sky-2551,finished,-,warleyalm,,2022-11-13T05:05:39.000Z,3,,A-0-10-10-7-linear-25-linear-25,A,0,10,10,7,linear,25,linear,25,725.9,0.224,0,7-7-7-7-7-7-7,2,935.4,0,0,1-8-8-8-8-8-8,2,894,0.0443,0,1-1-1-1-8-8-8,2,935.4,0,1-8-8-8-8-8-8,8656.42,0.01,2,0.8919,935.4,0,0.03,1-8-8-8-8-8-8,2,true
playful-sky-2550,finished,-,warleyalm,,2022-11-13T05:05:36.000Z,3,,A-7-20-20-7-linear-25-linear-25,A,7,20,20,7,linear,25,linear,25,797.2,0.1163,0,11-18-11-18-11-11-18,2,894.3,0.0086,0,11-16-16-16-16-16-16,2,870.1,0.0355,0,11-11-11-11-11-11-11,2,902.1,0,11-16-16-16-16-16-10,8669.51,0.02,2,0.8959,902.1,0,0.09,11-16-16-16-16-16-10,2,true
polar-frost-2549,finished,-,warleyalm,,2022-11-13T05:05:34.000Z,2,,A-4-20-20-7-linear-100-exponential-25,A,4,20,20,7,linear,100,exponential,25,1230.53,0.7272,0,13-13-13-13-13-13-13,2,2261.98,0.4985,0,13-2-2-19-19-19-19,2,1627.7,0.6391,0,13-19-19-19-19-19-19,2,4188.38,0.0713,13-2-19-12-18-2-19,14857.43,0.02,2,0.6964,4510,0,0.23,20-19-13-2-12-18-19,2,true
crimson-galaxy-2548,finished,-,warleyalm,,2022-11-13T05:05:31.000Z,3,,A-3-20-20-14-exponential-75-linear-25,A,3,20,20,14,exponential,75,linear,25,641.24,0.7283,0,20-20-20-20-20-20-20-20-20-20-20-20-20-20,2,641.24,0.7283,0,20-20-20-20-20-20-20-20-20-20-20-20-20-20,2,2123.8,0.1,0,20-20-20-7-8-8-8-8-8-8-8-8-8-8,2,2354.1,0.0024,20-20-20-3-3-3-3-20-20-3-3-3-3-3,26514.71,0.03,2,0.911,2359.7,0,0.36,3-20-20-20-20-20-20-20-20-20-20-20-20-20,2,true
ethereal-sea-2547,finished,-,warleyalm,,2022-11-13T05:05:29.000Z,2,,A-9-20-20-14-exponential-50-linear-25,A,9,20,20,14,exponential,50,linear,25,1039.41,0.4946,0,8-8-8-8-8-8-8-8-8-8-8-8-8-8,2,1039.41,0.4946,0,8-8-8-8-8-8-8-8-8-8-8-8-8-8,2,1833.2,0.1087,0,8-8-8-8-8-8-15-15-15-15-15-15-15-15,2,2040.24,0.008,8-8-8-8-8-8-7-6-8-8-6-8-8-6,25770.96,0.04,2,0.9202,2056.7,0,0.45,8-8-8-8-8-8-7-8-6-6-8-6-6-6,2,true
golden-paper-2546,finished,-,warleyalm,,2022-11-13T05:05:26.000Z,3,,A-9-20-20-14-exponential-100-linear-75,A,9,20,20,14,exponential,100,linear,75,289.47,0.8459,0,1-1-1-1-1-1-1-1-1-1-1-1-1-1,2,289.47,0.8459,0,1-1-1-1-1-1-1-1-1-1-1-1-1-1,2,1000.4,0.4673,0,1-14-6-6-6-6-6-6-6-6-6-6-6-6,2,1102.23,0.4131,1-14-14-1-14-6-7-6-6-1-14-6-7-6,26302.31,0.03,2,0.9286,1878,0,0.24,14-14-1-1-1-1-1-1-1-7-7-7-7-1,2,true
floral-feather-2545,finished,-,warleyalm,,2022-11-13T05:05:24.000Z,2,,A-9-20-20-14-exponential-75-exponential-75,A,9,20,20,14,exponential,75,exponential,75,284.62,0.9596,0,1-1-1-1-1-1-1-1-1-1-1-1-1-1,2,284.62,0.9596,0,1-1-1-1-1-1-1-1-1-1-1-1-1-1,2,3873.67,0.4508,0,1-5-5-5-5-5-5-5-5-5-5-5-4-18,2,5663.08,0.1971,1-6-18-18-6-6-1-6-6-7-1-6-14-1,34292.55,0.04,2,0.7943,7053.35,0,1.27,18-5-6-18-1-6-13-6-1-6-7-6-1-14,2,true
