project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,bdl_runtime,bdl_iterations,bdl_objective,bdl_solution,bdl_optgap,bd5_runtime,bd5_optgap,bd5_iterations,bd5_objective,bd5_solution,bds_runtime,bds_optgap,bds_iterations,bds_objective,bds_solution
paper1,rnd_9-100-100-10-large-inversely-mixed-homogeneous,2023-11-24 00:36,9,100,100,10,large,inversely,mixed,homogeneous,2023-11-24 00:36,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00191,-1,10532.02,54-78-79-21-5-98-90-33-74-18,0.062694437,18001.09,inf,64,10566.23,54-78-48-79-3-1-33-90-18-69,18001.38,0.147972899,7,10355.35,5-90-8-1-78-33-91-3-48-49
paper1,rnd_7-100-100-10-large-inversely-mixed-homogeneous,2023-11-24 02:03,7,100,100,10,large,inversely,mixed,homogeneous,2023-11-24 02:03,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00145,-1,10444.73,43-71-14-95-100-13-18-28-33-7,0.064399973,18001.09,inf,64,10444.73,43-71-14-95-100-13-18-28-33-7,18001.37,0.14164085,6,9728.53,35-95-24-14-26-64-85-19-41-71
paper1,rnd_5-100-100-10-large-inversely-mixed-heterogeneous,2023-11-24 15:16,5,100,100,10,large,inversely,mixed,heterogeneous,2023-11-24 15:16,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00292,-1,42423.37,0-0-0-0-41-24-52-50-53-99,0.100448826,18001.12,inf,65,43776.69,0-0-0-14-50-93-88-44-99-3,18001.34,0.249947646,11,41086.85,22-49-49-46-13-88-99-44-81-84
paper1,rnd_9-100-100-10-large-inversely-absolute-homogeneous,2023-11-24 00:30,9,100,100,10,large,inversely,absolute,homogeneous,2023-11-24 00:30,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.0017,-1,5498,40-78-54-79-58-3-98-33-90-18,0.060428463,18001.07,inf,64,5513,5-48-90-54-78-1-91-33-3-49,18001.34,0.126730182,7,5330,3-5-90-78-58-98-28-54-79-47
paper1,rnd_5-100-100-10-large-inversely-absolute-homogeneous,2023-11-24 14:56,5,100,100,10,large,inversely,absolute,homogeneous,2023-11-24 14:56,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00156,-1,5561,41-13-14-44-93-88-99-3-50-45,0.037724143,18001.04,inf,64,5558,13-49-90-14-99-93-88-44-3-61,18001.33,0.095088819,6,5169,52-99-44-49-38-22-13-30-81-15
paper1,rnd_6-100-100-10-large-inversely-mixed-homogeneous,2023-11-24 00:41,6,100,100,10,large,inversely,mixed,homogeneous,2023-11-24 00:41,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00135,-1,10774.38,38-94-52-60-82-51-58-8-39-17,0.033710405,18001.05,inf,64,10774.38,38-94-52-60-82-51-58-8-39-17,18001.32,0.117748389,6,10122.76,82-38-5-94-51-15-60-52-93-19
paper1,rnd_8-100-100-10-large-inversely-mixed-homogeneous,2023-11-24 03:13,8,100,100,10,large,inversely,mixed,homogeneous,2023-11-24 03:13,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00173,-1,10537.87,12-28-31-38-70-54-45-91-57-3,0.051834743,18001.06,inf,64,10566.7,67-31-28-19-13-54-45-57-55-84,18001.29,0.117196853,7,10445.04,31-54-45-8-48-70-3-91-57-21
paper1,rnd_0-100-100-10-large-inversely-mixed-homogeneous,2023-11-25 00:22,0,100,100,10,large,inversely,mixed,homogeneous,2023-11-25 00:22,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00319,-1,10293.05,32-64-53-7-56-55-28-9-94-10,0.065621627,18001.22,inf,65,10361.24,53-55-56-91-10-64-94-9-69-51,18001.28,0.142650148,7,10041.32,94-45-94-91-56-65-64-51-9-10
paper1,rnd_7-100-100-10-large-inversely-absolute-homogeneous,2023-11-24 02:00,7,100,100,10,large,inversely,absolute,homogeneous,2023-11-24 02:00,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00074,-1,5467,43-64-71-41-14-24-35-16-98-51,0.050323718,18001.12,inf,64,5467,43-64-71-41-14-24-35-16-51-98,18001.28,0.1348559,6,5088,28-35-43-71-41-14-16-32-7-75
paper1,rnd_8-100-100-10-large-inversely-absolute-homogeneous,2023-11-24 03:10,8,100,100,10,large,inversely,absolute,homogeneous,2023-11-24 03:10,32ff6d65e0f328158f4a0b81bd7e50f599ef5cee,paper1,18000.00144,-1,5525,28-31-45-54-38-70-3-91-57-21,0.037731364,18001.09,inf,64,5525,28-31-45-54-38-70-3-91-57-21,18001.25,0.130140742,6,5074,19-24-67-4-13-70-45-57-49-18
