project,keyword,created,seed,locations,customers,periods,patronizing,rewards,replenishment,character,updated,commit,branch,rnd_objective,rnd_solution,rnd_runtime,frw_objective,frw_solution,frw_runtime,bcw_objective,bcw_solution,bcw_runtime,prg_objective,prg_solution,prg_runtime,rlxt_lrz_objective,rlxt_lrz_runtime,rlxt_lrz_status,warm_lrz_objective,warm_lrz_solution,warm_lrz_runtime,warm_lrz_status,warm_lrz_optgap,cold_lrz_objective,cold_lrz_solution,cold_lrz_runtime,cold_lrz_status,cold_lrz_optgap,rlxt_net_objective,rlxt_net_runtime,rlxt_net_status,warm_net_objective,warm_net_solution,warm_net_runtime,warm_net_status,warm_net_optgap,cold_net_objective,cold_net_solution,cold_net_runtime,cold_net_status,cold_net_optgap,warm_lrz_check,cold_lrz_check,warm_net_check,cold_net_check,upper_bound,net_intgap,lrz_intgap,rnd_optgap,frw_optgap,bcw_optgap,prg_optgap,em1_objective,em1_solution,em1_runtime,em1_status,em1_optgap,em2_objective,em2_solution,em2_runtime,em2_status,em2_optgap
paper1,rnd_0-100-100-10-large-identical-absolute-heterogeneous,2023-11-11 13:31:11,0,100,100,10,large,identical,absolute,heterogeneous,2023-11-11 13:31:11,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,370100.0,44-47-64-67-67-9-83-21-36-87,0.0,506000.0,30-82-4-6-30-95-92-90-82-30,0.64,522800.0,0-0-5-4-97-33-82-92-95-30,0.63,523000.0,4-4-4-5-33-97-82-92-95-30,3.85,620200.0,6.71,2,523500.0,4-69-62-98-80-97-82-92-95-30,16190.37,2,7.88918166644712e-05,523500.0,32-49-21-98-80-97-82-92-95-30,18000.02,9,0.002165692356886866,538247.81,145.75,2,523500.0,10-65-87-98-80-97-82-92-95-30,18000.1,9,0.027507163323782235,522900.0,95-0-36-72-69-5-95-44-82-30,18000.13,9,0.025052591317651557,True,True,True,True,523500.0,0.0274,0.1559,0.293,0.0334,0.0013,0.001,188700.0,82-82-82-82-82-82-82-82-82-82,0.0,2,0.6395,227900.0,82-30-30-30-30-30-30-30-30-30,0.0,2,0.5647
paper1,rnd_0-100-100-10-large-identical-absolute-homogeneous,2023-11-11 13:27:55,0,100,100,10,large,identical,absolute,homogeneous,2023-11-11 13:27:55,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,66400.0,44-47-64-67-67-9-83-21-36-87,0.0,88800.0,30-82-44-52-84-36-30-72-95-82,0.53,92300.0,0-0-14-17-90-46-4-37-44-30,0.52,92200.0,14-14-14-23-13-5-95-44-82-30,3.24,110000.0,27.15,2,92500.0,40-23-72-92-90-36-12-84-95-30,18000.03,9,0.0054233115102592,92400.0,52-76-93-98-80-97-82-92-95-30,18000.03,9,0.013143373859263738,95301.2,146.21,2,92500.0,28-89-62-92-90-36-12-84-95-30,18000.1,9,0.024864864864864864,92200.0,11-0-9-14-5-69-46-44-82-30,18000.09,9,0.027114967462039046,True,True,True,True,92500.0,0.0294,0.1591,0.2822,0.04,0.0022,0.0032,35200.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.6195,35200.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.6195
paper1,rnd_0-100-100-10-large-identical-mixed-heterogeneous,2023-11-11 13:57:15,0,100,100,10,large,identical,mixed,heterogeneous,2023-11-11 13:57:15,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,446222.54,44-47-64-67-67-9-83-21-36-87,0.0,575413.7,30-82-4-44-30-46-33-82-96-30,0.92,814021.57,0-0-0-0-0-89-69-92-95-30,0.88,801482.7,0-0-0-0-0-26-84-92-95-30,5.1,1002687.47,29.54,2,816937.71,0-0-0-0-0-69-89-95-92-30,18000.04,9,0.0968284344215318,821826.59,0-0-0-0-0-69-46-44-82-30,18000.03,9,0.09079940280483667,941910.39,30.0,2,816937.72,0-0-0-0-0-69-89-95-92-30,18000.13,9,0.12700136885867547,810797.9,0-0-0-0-0-12-84-36-95-30,18000.15,9,0.12399269118027038,True,True,True,True,821826.59,0.1327,0.1853,0.457,0.2998,0.0095,0.0248,166497.0,82-82-82-82-82-82-82-82-82-82,0.0,2,0.7974,194569.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.7632
paper1,rnd_0-100-100-10-large-identical-mixed-homogeneous,2023-11-11 13:41:05,0,100,100,10,large,identical,mixed,homogeneous,2023-11-11 13:41:05,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,126807.11,44-47-64-67-67-9-83-21-36-87,0.0,168204.4,30-82-44-52-84-30-95-92-82-33,0.54,179531.24,0-0-41-45-90-4-46-37-44-30,0.53,179599.39,0-0-41-45-90-46-4-37-44-30,3.25,216658.41,22.24,2,179599.39,0-0-41-45-90-46-4-37-44-30,18000.03,9,0.04529368878909754,178782.05,0-0-34-50-76-46-95-44-82-30,18000.02,9,0.04941258157081172,187828.84,31.47,2,179949.83,0-0-58-98-71-36-12-84-95-30,12304.31,2,9.67963825944869e-05,179949.83,0-0-58-98-71-36-12-84-95-30,18000.09,9,0.00855225104467598,True,True,True,True,179949.83,0.0419,0.171,0.2953,0.0653,0.0023,0.0019,67232.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.6264,67232.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.6264
paper1,rnd_0-100-100-10-large-identical-relative-heterogeneous,2023-11-11 13:37:53,0,100,100,10,large,identical,relative,heterogeneous,2023-11-11 13:37:53,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,129460.13,44-47-64-67-67-9-83-21-36-87,0.0,118649.48,82-30-4-46-76-6-69-5-0-0,0.74,366193.5,0-0-0-0-0-0-69-92-95-30,0.7,356692.46,0-0-0-0-0-19-80-24-83-82,4.13,450616.14,25.84,2,368590.34,0-0-0-0-0-56-97-92-11-30,18000.03,9,0.09807942176631082,368590.34,0-0-0-0-0-56-97-92-11-30,18000.04,9,0.09709053366857885,440775.95,47.76,2,368180.93,0-0-0-0-0-0-69-95-92-30,18000.12,9,0.13868700180906918,368590.34,0-0-0-0-0-56-97-92-11-30,18000.13,9,0.15163118689844876,True,True,True,True,368590.34,0.1647,0.182,0.6488,0.6781,0.0065,0.0323,23165.0,82-82-82-82-82-82-82-82-82-82,0.0,2,0.9372,75276.95,82-82-82-82-82-30-30-30-30-30,0.0,2,0.7958
paper1,rnd_0-100-100-10-large-identical-relative-homogeneous,2023-11-11 13:31:07,0,100,100,10,large,identical,relative,homogeneous,2023-11-11 13:31:07,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,23660.93,44-47-64-67-67-9-83-21-36-87,0.0,21428.54,30-44-37-4-46-90-17-14-0-0,0.55,64353.62,0-0-0-0-0-0-46-37-44-30,0.51,64353.62,0-0-0-0-0-0-46-37-44-30,3.0,81281.09,8.09,2,65493.48,0-0-0-0-0-45-97-37-92-30,18000.03,9,0.10599430258584795,65493.48,0-0-0-0-0-45-97-37-92-30,18000.03,9,0.10612963243128588,78347.27,50.89,2,64541.15,0-0-0-0-0-0-24-80-83-82,18000.1,9,0.166908795121019,64559.36,0-0-0-0-0-80-24-27-83-82,18000.08,9,0.17598432127348507,True,True,True,True,65493.48,0.1762,0.1942,0.6387,0.6728,0.0174,0.0174,4064.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.9379,4064.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.9379
paper1,rnd_0-100-100-10-large-inversely-absolute-heterogeneous,2023-11-11 14:00:29,0,100,100,10,large,inversely,absolute,heterogeneous,2023-11-11 14:00:29,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,21655.0,44-47-64-67-67-9-83-21-36-87,0.0,26981.0,54-37-7-25-98-54-68-49-76-42,0.69,30979.0,55-9-18-87-10-77-78-64-54-68,0.69,30601.0,55-94-9-86-77-78-64-98-54-68,4.09,39868.03,25.8,2,31407.0,45-55-69-94-51-9-10-78-64-77,18000.03,9,0.10134045314580703,31519.0,32-55-56-91-69-94-51-64-10-9,18000.19,9,0.08514699378631611,33787.84,81.26,2,31335.0,56-32-55-91-69-94-10-64-51-9,18000.1,9,0.07320887186851763,30740.0,45-9-94-55-69-62-67-75-26-64,18000.1,9,0.09401431359791802,True,True,True,True,31519.0,0.0726,0.2122,0.313,0.144,0.0171,0.0291,7620.0,36-36-36-36-36-36-36-36-36-36,0.0,2,0.7582,14062.0,54-54-54-54-54-54-54-54-68-68,0.0,2,0.5539
paper1,rnd_0-100-100-10-large-inversely-absolute-homogeneous,2023-11-11 14:00:29,0,100,100,10,large,inversely,absolute,homogeneous,2023-11-11 14:00:29,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,3835.0,44-47-64-67-67-9-83-21-36-87,0.0,4379.0,30-92-45-83-6-61-82-24-78-75,0.54,5216.0,9-56-62-64-70-3-93-45-92-30,0.53,5216.0,9-56-62-64-70-3-93-45-92-30,3.24,6900.45,35.2,2,5388.0,53-55-56-91-10-64-94-9-69-51,18000.03,9,0.09821814259252568,5379.0,53-55-56-91-69-51-64-9-94-10,18000.03,9,0.094162027118086,5809.4,101.48,2,5217.0,9-64-56-62-70-3-93-45-92-30,18000.11,9,0.11251677209124018,5338.0,56-45-9-64-53-55-94-14-98-66,18000.12,9,0.086174597227426,True,True,True,True,5388.0,0.102,0.2192,0.2882,0.1873,0.0319,0.0319,1408.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.7387,1408.0,30-30-30-30-30-30-30-30-30-30,0.0,2,0.7387
paper1,rnd_0-100-100-10-large-inversely-mixed-heterogeneous,2023-11-11 14:16:34,0,100,100,10,large,inversely,mixed,heterogeneous,2023-11-11 14:16:34,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,25836.35,44-47-64-67-67-9-83-21-36-87,0.0,30919.18,30-92-70-47-18-86-68-98-66-17,0.9,43896.42,0-0-0-0-55-98-64-78-54-68,0.87,42599.27,0-0-0-45-55-69-51-9-92-30,5.13,59811.34,39.18,2,48361.47,0-0-0-0-69-10-94-51-9-64,18000.03,9,0.10617283716614553,48361.47,0-0-0-0-69-10-94-51-9-64,18000.02,9,0.09604780832605075,54558.89,67.27,2,45974.27,0-0-0-18-55-78-71-42-9-77,18000.12,9,0.15213383605981076,46716.11,0-0-0-78-87-69-67-26-75-64,18000.1,9,0.15236244501275845,True,True,True,True,48361.47,0.1573,0.1914,0.4658,0.3607,0.0923,0.1191,6784.7,36-36-36-36-36-36-36-36-36-36,0.0,2,0.8597,18617.55,30-30-30-30-30-30-30-30-30-68,0.0,2,0.615
paper1,rnd_0-100-100-10-large-inversely-mixed-homogeneous,2023-11-11 14:16:34,0,100,100,10,large,inversely,mixed,homogeneous,2023-11-11 14:16:34,f9f4a0e36fb6b46ebe562e94bc8bb70710edd991,paper1,7351.14,44-47-64-67-67-9-83-21-36-87,0.0,8291.04,30-92-45-83-6-82-24-61-88-83,0.55,10014.36,56-9-62-64-70-3-93-45-92-30,0.55,10017.04,9-56-62-64-70-3-93-45-92-30,3.35,13660.93,102.88,2,10361.24,53-55-56-91-10-64-94-9-69-51,18000.14,9,0.08415472125003552,10352.96,55-32-56-91-69-51-64-9-94-10,18000.03,9,0.09844520402670355,11224.35,122.42,2,10264.2,9-64-7-56-28-53-98-94-55-66,18000.12,9,0.09309845039670894,10361.24,53-55-56-91-10-64-94-9-69-51,18001.09,9,0.08140157123135705,True,True,True,True,10361.24,0.0855,0.2415,0.2905,0.1998,0.0335,0.0332,2689.28,30-30-30-30-30-30-30-30-30-30,0.0,2,0.7404,2689.28,30-30-30-30-30-30-30-30-30-30,0.0,2,0.7404
